;Unnamed: 0;tanggal_tweet;pengguna;isi_tweet;sentimen;step01;tokens;final_tokens;step02
0;0;2022-10-30 17:01:29+00:00;shinebieber99;RT @xcintakiehlx: Hi Sahabat Perempuan dan Anak. Kalau kamu mengalami kekerasan, segera laporkan ke Layanan SAPA 129 atau Whatsapp ke 08111…;0;rt user hi sahabat perempuan dan anak kalau kamu mengalami kekerasan segera laporkan ke layanan sapa number atau whatsapp ke number;['rt', 'user', 'hi', 'sahabat', 'perempuan', 'dan', 'anak', 'kalau', 'kamu', 'mengalami', 'kekerasan', 'segera', 'laporkan', 'ke', 'layanan', 'sapa', 'number', 'atau', 'whatsapp', 'ke', 'number'];['rt', 'user', 'hi', 'sahabat', 'perempuan', 'dan', 'anak', 'kalau', 'kamu', 'mengalami', 'kekerasan', 'segera', 'laporkan', 'ke', 'layanan', 'sapa', 'number', 'atau', 'whatsapp', 'ke', 'number'];rt user hi sahabat perempuan dan anak kalau kamu mengalami kekerasan segera laporkan ke layanan sapa number atau whatsapp ke number
1;1;2022-10-30 16:59:28+00:00;Thomastjik;@sezer1405 @Madebylaluna @Leonita_Lestari @Cintada16 @xcintakiehlx @Syarman59 @RaniKancana__ @SeruniPuspaAlam Cueki… https://t.co/fz1L9L3lty;0;user user user user user user user user cueki cofz1l9l3lty;['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'cueki', 'cofz1l9l3lty'];['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'cueki', 'cofz1l9l3lty'];user user user user user user user user cueki cofz1l9l3lty
2;2;2022-10-30 16:49:24+00:00;Kembara082022;"RT @sezer1405: Wah gak terima saya KEBAYA disebut pakaian asalnya dari India dan disebut pakaian BUDAK!

😡

@Madebylaluna @Leonita_Lestari…";0;rt user wah gak terima saya kebaya disebut pakaian asalnya dari india dan disebut pakaian budak user user;['rt', 'user', 'wah', 'gak', 'terima', 'saya', 'kebaya', 'disebut', 'pakaian', 'asalnya', 'dari', 'india', 'dan', 'disebut', 'pakaian', 'budak', 'user', 'user'];['rt', 'user', 'wah', 'gak', 'terima', 'saya', 'kebaya', 'disebut', 'pakaian', 'asalnya', 'dari', 'india', 'dan', 'disebut', 'pakaian', 'budak', 'user', 'user'];rt user wah gak terima saya kebaya disebut pakaian asalnya dari india dan disebut pakaian budak user user
3;3;2022-10-30 16:39:05+00:00;TMaroe;"RT @sezer1405: Wah gak terima saya KEBAYA disebut pakaian asalnya dari India dan disebut pakaian BUDAK!

😡

@Madebylaluna @Leonita_Lestari…";0;rt user wah gak terima saya kebaya disebut pakaian asalnya dari india dan disebut pakaian budak user user;['rt', 'user', 'wah', 'gak', 'terima', 'saya', 'kebaya', 'disebut', 'pakaian', 'asalnya', 'dari', 'india', 'dan', 'disebut', 'pakaian', 'budak', 'user', 'user'];['rt', 'user', 'wah', 'gak', 'terima', 'saya', 'kebaya', 'disebut', 'pakaian', 'asalnya', 'dari', 'india', 'dan', 'disebut', 'pakaian', 'budak', 'user', 'user'];rt user wah gak terima saya kebaya disebut pakaian asalnya dari india dan disebut pakaian budak user user
4;4;2022-10-30 16:17:02+00:00;sezer1405;RT @redpicasa: @sezer1405 @Madebylaluna @Leonita_Lestari @Cintada16 @xcintakiehlx @Syarman59 @RaniKancana__ @SeruniPuspaAlam Dia bilang dal…;0;rt user user user user user user user user user dia bilang dal;['rt', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'dia', 'bilang', 'dal'];['rt', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'dia', 'bilang', 'dal'];rt user user user user user user user user user dia bilang dal
5;5;2022-10-30 15:03:35+00:00;wongkalibanteng;"RT @sezer1405: Wah gak terima saya KEBAYA disebut pakaian asalnya dari India dan disebut pakaian BUDAK!

😡

@Madebylaluna @Leonita_Lestari…";0;rt user wah gak terima saya kebaya disebut pakaian asalnya dari india dan disebut pakaian budak user user;['rt', 'user', 'wah', 'gak', 'terima', 'saya', 'kebaya', 'disebut', 'pakaian', 'asalnya', 'dari', 'india', 'dan', 'disebut', 'pakaian', 'budak', 'user', 'user'];['rt', 'user', 'wah', 'gak', 'terima', 'saya', 'kebaya', 'disebut', 'pakaian', 'asalnya', 'dari', 'india', 'dan', 'disebut', 'pakaian', 'budak', 'user', 'user'];rt user wah gak terima saya kebaya disebut pakaian asalnya dari india dan disebut pakaian budak user user
6;6;2022-10-30 15:03:21+00:00;YusufNusantara5;@sezer1405 @Madebylaluna @Leonita_Lestari @Cintada16 @xcintakiehlx @Syarman59 @RaniKancana__ @SeruniPuspaAlam ..Nar… https://t.co/U1WLvstL4Q;0;user user user user user user user user nar cou1wlvstl4q;['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'nar', 'cou1wlvstl4q'];['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'nar', 'cou1wlvstl4q'];user user user user user user user user nar cou1wlvstl4q
7;7;2022-10-30 14:50:29+00:00;davidmimchaewl;"RT @Deariy: Ternyata @xcintakiehlx Jurusan Psikologi toh.. Wow.. Cumlaude asli. 3.9.
Proud of you Queen..!!
#Kasmaran https://t.co/ynUkMIBl…";1;rt user ternyata user jurusan psikologi toh wow cumlaude asli number proud of you queen hashtag kasmaran hashtag coynukmibl;['rt', 'user', 'ternyata', 'user', 'jurusan', 'psikologi', 'toh', 'wow', 'cumlaude', 'asli', 'number', 'proud', 'of', 'you', 'queen', 'hashtag', 'kasmaran', 'hashtag', 'coynukmibl'];['rt', 'user', 'ternyata', 'user', 'jurusan', 'psikologi', 'toh', 'wow', 'cumlaude', 'asli', 'number', 'proud', 'of', 'you', 'queen', 'hashtag', 'kasmaran', 'hashtag', 'coynukmibl'];rt user ternyata user jurusan psikologi toh wow cumlaude asli number proud of you queen hashtag kasmaran hashtag coynukmibl
8;8;2022-10-30 14:11:24+00:00;Hendrikorachman;Sesuai instruksi pk @maman1965 tth filsuf. Godaan yg paling berat itu sex sesuai analisa @catwomanizer, apalagi jik… https://t.co/eZFMrlTPWp;0;sesuai instruksi pk user tth filsuf godaan yg paling berat itu sex sesuai analisa user apalagi jik coezfmrltpwp;['sesuai', 'instruksi', 'pk', 'user', 'tth', 'filsuf', 'godaan', 'yg', 'paling', 'berat', 'itu', 'sex', 'sesuai', 'analisa', 'user', 'apalagi', 'jik', 'coezfmrltpwp'];['sesuai', 'instruksi', 'pk', 'user', 'tth', 'filsuf', 'godaan', 'yg', 'paling', 'berat', 'itu', 'sex', 'sesuai', 'analisa', 'user', 'apalagi', 'jik', 'coezfmrltpwp'];sesuai instruksi pk user tth filsuf godaan yg paling berat itu sex sesuai analisa user apalagi jik coezfmrltpwp
9;9;2022-10-30 14:00:41+00:00;Hendrikorachman;Salah satu mahkluk yg masih hidup diluar kenabian adalah DAJAL.Keajaiban ghoib bin jahiliyah sangat marak sblm Rosu… https://t.co/FlT3aCkwh2;0;salah satu mahkluk yg masih hidup diluar kenabian adalah dajal keajaiban ghoib bin jahiliyah sangat marak sblm rosu coflt3ackwh2;['salah', 'satu', 'mahkluk', 'yg', 'masih', 'hidup', 'diluar', 'kenabian', 'adalah', 'dajal', 'keajaiban', 'ghoib', 'bin', 'jahiliyah', 'sangat', 'marak', 'sblm', 'rosu', 'coflt3ackwh2'];['salah', 'satu', 'mahkluk', 'yg', 'masih', 'hidup', 'diluar', 'kenabian', 'adalah', 'dajal', 'keajaiban', 'ghoib', 'bin', 'jahiliyah', 'sangat', 'marak', 'sblm', 'rosu', 'coflt3ackwh2'];salah satu mahkluk yg masih hidup diluar kenabian adalah dajal keajaiban ghoib bin jahiliyah sangat marak sblm rosu coflt3ackwh2
10;10;2022-10-30 13:53:40+00:00;Hendrikorachman;"Napa dlm keyakinan SAMAWI Nabi &amp; Rosul terakhir  Nabi Muhammad SAW, begitu byk ramalan tepat krn langit ketujuh ter… https://t.co/slCGYeUdPV";0;napa dlm keyakinan samawi nabi rosul terakhir nabi muhammad saw begitu byk ramalan tepat krn langit ketujuh ter coslcgyeudpv;['napa', 'dlm', 'keyakinan', 'samawi', 'nabi', 'rosul', 'terakhir', 'nabi', 'muhammad', 'saw', 'begitu', 'byk', 'ramalan', 'tepat', 'krn', 'langit', 'ketujuh', 'ter', 'coslcgyeudpv'];['napa', 'dlm', 'keyakinan', 'samawi', 'nabi', 'rosul', 'terakhir', 'nabi', 'muhammad', 'saw', 'begitu', 'byk', 'ramalan', 'tepat', 'krn', 'langit', 'ketujuh', 'ter', 'coslcgyeudpv'];napa dlm keyakinan samawi nabi rosul terakhir nabi muhammad saw begitu byk ramalan tepat krn langit ketujuh ter coslcgyeudpv
11;11;2022-10-30 13:49:36+00:00;Hendrikorachman;Saya prihatin tragedi hellowwen di korsel.Byk rahasia langit terbuka sblm Nabi Muhammad SAW lakukan isra'mi'raj. Be… https://t.co/QDsORRaLPU;0;saya prihatin tragedi hellowwen di korsel byk rahasia langit terbuka sblm nabi muhammad saw lakukan isra mi raj be coqdsorralpu;['saya', 'prihatin', 'tragedi', 'hellowwen', 'di', 'korsel', 'byk', 'rahasia', 'langit', 'terbuka', 'sblm', 'nabi', 'muhammad', 'saw', 'lakukan', 'isra', 'mi', 'raj', 'be', 'coqdsorralpu'];['saya', 'prihatin', 'tragedi', 'hellowwen', 'di', 'korsel', 'byk', 'rahasia', 'langit', 'terbuka', 'sblm', 'nabi', 'muhammad', 'saw', 'lakukan', 'isra', 'mi', 'raj', 'be', 'coqdsorralpu'];saya prihatin tragedi hellowwen di korsel byk rahasia langit terbuka sblm nabi muhammad saw lakukan isra mi raj be coqdsorralpu
12;12;2022-10-30 13:07:21+00:00;Alfiyan994;@sezer1405 @Madebylaluna @Leonita_Lestari @Cintada16 @xcintakiehlx @Syarman59 @RaniKancana__ @SeruniPuspaAlam hahah… https://t.co/LwfdHOAqbB;0;user user user user user user user user hahah colwfdhoaqbb;['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'hahah', 'colwfdhoaqbb'];['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'hahah', 'colwfdhoaqbb'];user user user user user user user user hahah colwfdhoaqbb
13;13;2022-10-30 12:59:36+00:00;kyo_shiro007;@unusualyouth Eh eh,, kayag da mau kiamat aj ya. Anak bukan di lindungi malah mau digerayangi. Berasa hak milik dia… https://t.co/GcB8GSDqOj;0;user eh eh kayag da mau kiamat aj ya anak bukan di lindungi malah mau digerayangi berasa hak milik dia cogcb8gsdqoj;['user', 'eh', 'eh', 'kayag', 'da', 'mau', 'kiamat', 'aj', 'ya', 'anak', 'bukan', 'di', 'lindungi', 'malah', 'mau', 'digerayangi', 'berasa', 'hak', 'milik', 'dia', 'cogcb8gsdqoj'];['user', 'eh', 'eh', 'kayag', 'da', 'mau', 'kiamat', 'aj', 'ya', 'anak', 'bukan', 'di', 'lindungi', 'malah', 'mau', 'digerayangi', 'berasa', 'hak', 'milik', 'dia', 'cogcb8gsdqoj'];user eh eh kayag da mau kiamat aj ya anak bukan di lindungi malah mau digerayangi berasa hak milik dia cogcb8gsdqoj
14;14;2022-10-30 12:09:06+00:00;Sudarno_Silaban;@sezer1405 @Madebylaluna @Leonita_Lestari @Cintada16 @xcintakiehlx @Syarman59 @RaniKancana__ @SeruniPuspaAlam Itu o… https://t.co/bJkqjxlSIr;0;user user user user user user user user itu cobjkqjxlsir;['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'itu', 'cobjkqjxlsir'];['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'itu', 'cobjkqjxlsir'];user user user user user user user user itu cobjkqjxlsir
15;15;2022-10-30 11:29:22+00:00;redpicasa;@sezer1405 @Madebylaluna @Leonita_Lestari @Cintada16 @xcintakiehlx @Syarman59 @RaniKancana__ @SeruniPuspaAlam Dia b… https://t.co/aSe78If4bT;0;user user user user user user user user dia coase78if4bt;['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'dia', 'coase78if4bt'];['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'dia', 'coase78if4bt'];user user user user user user user user dia coase78if4bt
16;16;2022-10-30 11:28:19+00:00;breaking_bad__4;@sezer1405 @SeruniPuspaAlam @Madebylaluna @Leonita_Lestari @Cintada16 @xcintakiehlx @Syarman59 @RaniKancana__ Juga… https://t.co/SFK39AWAMp;0;user user user user user user user user juga cosfk39awamp;['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'juga', 'cosfk39awamp'];['user', 'user', 'user', 'user', 'user', 'user', 'user', 'user', 'juga', 'cosfk39awamp'];user user user user user user user user juga cosfk39awamp
